champion,games,wins,winrate,pick_rate
Aatrox,3587,1767,49.26122107610817,5.375715613104337
Ahri,6293,3220,51.16796440489433,9.431106315379312
Akali,3098,1524,49.19302775984506,4.642867847615622
Akshan,263,136,51.71102661596958,0.39414920720558705
Alistar,3616,1807,49.972345132743364,5.419176932530048
Ambessa,24,15,62.5,0.035967988490243685
Amumu,959,492,51.30344108446299,1.4372208734226537
Anivia,70,32,45.714285714285715,0.10490663309654408
Annie,1742,881,50.57405281285878,2.6106764979168537
Aphelios,7825,3799,48.54952076677316,11.727062914006533
Ashe,3332,1754,52.64105642256903,4.993555735395498
Aurelion Sol,518,264,50.965250965250966,0.7763090849144261
Aurora,303,160,52.8052805280528,0.45409585468932656
Azir,6074,3021,49.73658215344089,9.10289842040584
Bard,499,273,54.70941883767535,0.7478344273596499
Bel'Veth,486,221,45.47325102880658,0.7283517669274345
Blitzcrank,1033,563,54.50145208131656,1.548122171267572
Brand,947,501,52.9039070749736,1.4192368791775318
Braum,3093,1470,47.526673132880696,4.635374516680154
Briar,15,7,46.666666666666664,0.0224799928064023
Caitlyn,1691,894,52.86812536960378,2.5342445223750865
Camille,2549,1304,51.157316594743044,3.820100110901298
Cassiopeia,667,342,51.2743628185907,0.9996103467913556
Cho'Gath,342,158,46.198830409356724,0.5125438359859725
Corki,3959,1963,49.583228087900984,5.933219434703115
Darius,554,302,54.51263537906137,0.8302610676497917
Diana,807,373,46.220570012391576,1.2094236129844438
Dr. Mundo,199,96,48.24120603015075,0.29823457123160385
Draven,1484,731,49.25876010781671,2.2240206216467344
Ekko,102,48,47.05882352941176,0.15286395108353565
Elise,692,377,54.47976878612717,1.0370770014686927
