month,champion,count,total_games,pick_rate,month_date
2024-03,Nautilus,674,2768,24.34971098265896,2024-03-01
2024-03,Rakan,283,2768,10.223988439306359,2024-03-01
2024-03,Sejuani,195,2768,7.044797687861272,2024-03-01
2024-03,Viego,244,2768,8.815028901734104,2024-03-01
2024-03,Zeri,321,2768,11.596820809248555,2024-03-01
2024-04,Aphelios,81,1214,6.672158154859967,2024-04-01
2024-04,Jinx,194,1214,15.980230642504118,2024-04-01
2024-04,K'Sante,192,1214,15.815485996705107,2024-04-01
2024-04,Nautilus,261,1214,21.499176276771003,2024-04-01
2024-04,Rakan,165,1214,13.591433278418453,2024-04-01
2024-04,Sejuani,137,1214,11.28500823723229,2024-04-01
2024-04,Viego,68,1214,5.601317957166392,2024-04-01
2024-04,Zeri,238,1214,19.604612850082372,2024-04-01
2024-05,Aphelios,98,1198,8.180300500834726,2024-05-01
2024-05,Jinx,152,1198,12.687813021702837,2024-05-01
2024-05,K'Sante,292,1198,24.37395659432387,2024-05-01
2024-05,Nautilus,290,1198,24.207011686143574,2024-05-01
2024-05,Rakan,56,1198,4.674457429048414,2024-05-01
2024-05,Sejuani,150,1198,12.520868113522537,2024-05-01
2024-05,Viego,131,1198,10.934891485809683,2024-05-01
2024-05,Zeri,69,1198,5.759599332220367,2024-05-01
2024-06,Aphelios,130,3142,4.137492043284532,2024-06-01
2024-06,Jinx,327,3142,10.407383831954169,2024-06-01
2024-06,K'Sante,575,3142,18.3004455760662,2024-06-01
2024-06,Nautilus,743,3142,23.647358370464673,2024-06-01
2024-06,Rakan,160,3142,5.092297899427116,2024-06-01
2024-06,Sejuani,416,3142,13.239974538510502,2024-06-01
2024-06,Viego,255,3142,8.115849777211967,2024-06-01
2024-06,Zeri,312,3142,9.929980903882878,2024-06-01
2024-07,Aphelios,51,2670,1.9101123595505618,2024-07-01
2024-07,Jinx,111,2670,4.157303370786517,2024-07-01
2024-07,K'Sante,464,2670,17.378277153558052,2024-07-01
2024-07,Nautilus,400,2670,14.981273408239701,2024-07-01
2024-07,Rakan,211,2670,7.902621722846442,2024-07-01
2024-07,Sejuani,440,2670,16.479400749063668,2024-07-01
2024-07,Viego,105,2670,3.932584269662921,2024-07-01
2024-07,Zeri,433,2670,16.217228464419474,2024-07-01
2024-08,Aphelios,18,1750,1.0285714285714285,2024-08-01
2024-08,Jinx,28,1750,1.6,2024-08-01
2024-08,K'Sante,298,1750,17.02857142857143,2024-08-01
2024-08,Nautilus,209,1750,11.942857142857143,2024-08-01
